stone_id,name,runic,transliteration,translation,page_url,image_url
Sö 25,"Sö 25 - Södermanland: Långbro, Trosa-Vagnhärad",,* ui*gautra : auk : igialtr : a[uk : usurR : þaiR : rais... ...tae]n : þinsa * a[t] * su[ain * ...aþur : sin,"Vigöt och Ingjald och Assur, de reste denna sten efter Sven, sin fader",https://www.christerhamp.se/runor/gamla/so/so25.html,https://www.christerhamp.se/runor/gamla/so/so25s.jpg
Sö 26,"Sö 26 - Södermanland: Ytterstene, Trosa-Vagnhärad",,fasti * auk * hsbakR * litu * raisa * stai[n * at * si]khuat * br[u]þur sin,"Faste och Ospak lät resa stenen efter Sigvat, sin broder",https://www.christerhamp.se/runor/gamla/so/so26.html,https://www.christerhamp.se/runor/gamla/so/so26s.jpg
Sö 27,"Sö 27 - Södermanland: Sör-Husby, Trosa-Vagnhärad",ᚴᚢᚾᛅᚢᚴ ᛫ ᛏᚢᚠᛁ ᛫ ... ᛒᚱᚢᚦᚢᚱ ᛫ ᛋᛁᚾ ᛫ ᚴᚢᚦ ᛫ ᚼᛁᛅᛚᛒᛁ,kuna uk • tufi • (u)... ... ... ... ... ... bruþur • sin • kuþ • hialbi,Gunna och Tove ... sin broder. Gud hjälpe!,https://www.christerhamp.se/runor/gamla/so/so27.html,https://www.christerhamp.se/runor/gamla/so/so27s.jpg
Sö 32,Sö 32 - Södermanland: Skåäng,,"harija hleugazt
skanmals auk × olauf × þau × litu × kiara × merki × þausi × eftiR × suain × faþur × sin kuþ × hialbi salu hans
harija leugaz","Skamhals och Olof de lät göra dessa minnesmärken efter Sven, sin fader. Gud hjälpe hans själ.",https://www.christerhamp.se/runor/gamla/so/so32.html,https://www.christerhamp.se/runor/gamla/so/so32s.jpg
Sö 36,"Sö 36 - Södermanland: Trosa bro, Trosa-Vagnhärad",ᚦᚢᚱᚴᛁᛦ ᛫ ᛅᚢᚴ ᛫ ᚢᚱᛁ ᛫ ᚦᛅᛁᛦ ᛫ ᚱᛅᛁᛋᛏᚢ ᛫ ᛋᛏᛅᛁᚾᛅ ᛫ ᛅᛏ ᛫ ᚢᛚᛅᛁᚠ ᛫ ᚠᛅᚦᚢᚱ ᛫ ᛋᛁᚾ ᛬ ᛅᚢᚴ ᛬ ᛅᛏ ᛫ ᛋᚢᛅᛁᚾ ᛫ ᛒᚱᚢᚦᚢᚱ ᛋᛁᚾ ᛫,þurkiR • auk • uri • þaiR • raistu • staina • at • ulaif • faþur • sin : auk : at • suain • bruþur sin •,"Torger och Orre, de reste stenarna efter Olev, sin fader, och efter Sven, sin broder",https://www.christerhamp.se/runor/gamla/so/so36.html,https://www.christerhamp.se/runor/gamla/so/so36s.jpg
Sö 39,"Sö 39 - Södermanland: Åda, Trosa-Vagnhärad",,: hermoþr : lit : hagua : at : barkuiþ : bruþur : sin : h[an] trukn-þi : [a] lf:lanti :,"Hermod lät hugga efter Bergvid, sin broder. Han drunknade i Livland.",https://www.christerhamp.se/runor/gamla/so/so39.html,https://www.christerhamp.se/runor/gamla/so/so39s.jpg
Sö 40,Sö 40 - Södermanland: Västerljungs kyrka,ᚼᛅᚢᚾᛂᚠᛦ ᛭ ᚱᛅᛋᛏᛁ ᛫ ᛅᛏ ᛫ ᚴᛅᛁᛦᛘᛅᚱ ᛫ ᚠᛅᚦᚢᚱ ᛫ ᛋᛁᚾ ᛭ ᚼᛅᛅ ᛫ ᛁᛦᛁᚾᛏᛅᚦᚱ ᛫ ᚯ ᛫ ᚦᛁᚢᛋᛏᛁ ᛫ ᛋᚴᛅᛘᛅᛚᛋ ᛫ ᚼᛁᛅᚴ ᛫ ᚱᚢᚾᛅᛦᚦᛅᛦᛋᛁ,haunefR + raisti • at • kaiRmar • faþur • sin + haa • iR intaþr • o • þiusti • skamals • hiak • runaR þaRsi +,"Hunnäv reste efter Germar, sin fader. Han dog i Tjust. Skamhals högg dessa runor.",https://www.christerhamp.se/runor/gamla/so/so40.html,https://www.christerhamp.se/runor/gamla/so/so40s.jpg
Sö 41,"Sö 41 - Södermanland: Björke, Västerljung",,tati + iok + eftiR + faþur + sin × skaka × mirki| |it + mikla + man + (i)auRn,Tate högg efter sin fader Skakke det stora minnemärket. Man ska alltid höra talas om det.,https://www.christerhamp.se/runor/gamla/so/so41.html,https://www.christerhamp.se/runor/gamla/so/so41s.jpg
Sö 42,"Sö 42 - Södermanland: Gillberga, Västerljung",,sigualti : r[aisti ... ... ...kil * br]utia : sin,Sigvald reste ... sin rättare,https://www.christerhamp.se/runor/gamla/so/so42.html,https://www.christerhamp.se/runor/gamla/so/so42s.jpg
Sö 45,"Sö 45 - Södermanland: Släbro, Nyköping",,: kaiRf--tr : aistfari : raisþu : stain : þansi : eftiR : frayst... ...-[r :] sin : auk at ruakn : bruþur si:n (u)...þr : uinurniR :,"Gerfast och Estfare reste denna sten efter Frösten, sin fader och efter Vagn, sin broder ...",https://www.christerhamp.se/runor/gamla/so/so45.html,https://www.christerhamp.se/runor/gamla/so/so45s.jpg
Sö 46,"Sö 46 - Södermanand: Hormesta, Nykyrka socken",,iskil : auk : knauþimanr : raistu : stain : þansi : at : bruþur : sin : suera : as : uarþ : tauþr * o * eklanti kuml * kiarþu : þatsi [: ki]til  [s](b)[akR],"Eskil och Gnödigmand reste denna sten efter sin broder Sverre, som dog i England. Detta minnesmärke gjorde Kättil och Spak.",https://www.christerhamp.se/runor/gamla/so/so46.html,https://www.christerhamp.se/runor/gamla/so/so46s.jpg
Sö 47,"Sö 47 - Södermanland: Vålsta, Nykyrka",,...(R)-kR : kiarþi : kuml : þat:si : eftiR : osmunt : sun : sin + han : is : krafin : o · ku...,"Rörik gjorde detta minnesmärke efter Asmund, sin son. Han är begraven i kyrkan. Röset hopfört efter Röriks son.",https://www.christerhamp.se/runor/gamla/so/so47.html,https://www.christerhamp.se/runor/gamla/so/so47s.jpg
Sö 48,Sö 48 - Södermanland: Stigtomta kyrka,,× uiglaikR × auk × kiuli × auk × helgi × auk × iulfastr × ₫eiR × raistu × stain eftiR × ₫orbiarn,"Viglek och Gylle och Helge och Igulfast, de reste stenen efter Torbjörn.",https://www.christerhamp.se/runor/gamla/so/so48.html,https://www.christerhamp.se/runor/gamla/so/so48s.jpg
Sö 49,"Sö 49 - Södermanland: Ene, Stigtomta",,þurþr : auk : tuki + raistu + stain + þansi + aftiR + bysiu ++ faþur sin ¤ han + uarþ tauþr : o kniri :,"Tord och Toke reste denna sten efter Bysja, sin fader. Han dog på knarren.",https://www.christerhamp.se/runor/gamla/so/so49.html,https://www.christerhamp.se/runor/gamla/so/so49s.jpg
Sö 50,"Sö 50 - Södermanland: Jogersta, Tuna socken",,ţorbiarn × auk × fraylaug × litu × rita × stan × iftR × ayt sun sin,"Torbjörn och Frölög lät resa stenen efter Önd, sin son",https://www.christerhamp.se/runor/gamla/so/so50.html,https://www.christerhamp.se/runor/gamla/so/so50s.jpg
Sö 51,"Sö 51 - Södermanland: Allhelgonakyrkan, Nyköping",,: kuþfastr : saiulfr : raistu : at : hulmstain : [b]ruþur san : stain :,"Gudfast Säulv reste stenen efter Holmsten, sin broder",https://www.christerhamp.se/runor/gamla/so/so51.html,https://www.christerhamp.se/runor/gamla/so/so51s.jpg
Sö 52,"Sö 52 - Södermanland: Märings spång, Bettna",,faraukiR : rais(t)[i : stain : þina]si : [a]t : ulaif : faþur sin han : at : kaiR[uni],"Freygeir reste denna sten efter Oleif, sin fader. Han ägde Geirun",https://www.christerhamp.se/runor/gamla/so/so52.html,https://www.christerhamp.se/runor/gamla/so/so52s.jpg
